DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.25112/rpr.v1.2551,carbides Ti,"NADA DIGO DE TI, QUE EM TI NÃO VEJA",Revista Prâksis,"2448-1939, 1807-1112",Associacao Pro-Ensino Superior em Novo Hamburgo,journal-article,https://doi.org/10.25112/rpr.v1.2551,1,,251-255,,,2021-12-20,2021-12-20,"Mariana Antônia, Santiago Carvalho, Yuri, Brunello"
10.9734/jerr/2020/v18i417212,carbides Ti,Experimental Evaluation in Dry Machining of Inconel 718 Using Coated Carbides,Journal of Engineering Research and Reports,2582-2926,Sciencedomain International,journal-article,https://doi.org/10.9734/jerr/2020/v18i417212,,,1-11,,,2020-11-13,2020-11-13,"M. M., Reddy, N. S., Reddy, J. N., Evan"
10.2139/ssrn.4881851,carbides Ti,Highly Efficient Porous Mxene Desalination Membranes Controlled by the Thickness of the Transition Metal Carbides,,,Elsevier BV,posted-content,https://doi.org/10.2139/ssrn.4881851,,,,,,,2024,"Ting, Si, Xinyao, Ma, Zhenyu, Liao, Huan, Chen, Bochun, Liang, Sai Tak, Chu, Jun, Fan"
10.1016/j.fuel.2006.05.012,carbides Ti,Performances of mixed alcohols synthesis over potassium promoted molybdenum carbides,Fuel,0016-2361,Elsevier BV,journal-article,https://doi.org/10.1016/j.fuel.2006.05.012,85,17-18,2662-2665,en,2006-12,,2006-12,"M, XIANG, D, LI, W, LI, B, ZHONG, Y, SUN"
10.1063/5.0006886,carbides Ti,Investigation on wear behaviour of AL6061 amalgam reinforced with carbides,AIP Conference Proceedings,0094-243X,AIP Publishing,proceedings-article,https://doi.org/10.1063/5.0006886,2236,,040008,,2020,,2020,"Doddabommappa Kotrappa, Vishwas, Chaldiganahalli Nassappa, Chandrappa"
10.1017/cbo9781139178877.011,carbides Ti,CHAPTER X,Ti-ping tien-kwoh,,Cambridge University Press,book-chapter,https://doi.org/10.1017/cbo9781139178877.011,,,266-299,,2012-8-23,,2012-8-23,
10.55804/tsu-ti-1/jokhadze,carbides Ti,Mashaveras Gora: New investigation of Shulaveri-Shomutepe Culture Neolithic Settlement,TSU-ti — THE INTERNATIONAL SCIENTIFIC JOURNAL OF HUMANITIES  (ed. Nana Gaprindashvili),,Ivane Javakhishvili Tbilisi State University,journal-article,https://doi.org/10.55804/tsu-ti-1/jokhadze,,1,,,2022-5-7,2022-5-7,2022-5-7,"Saba, Jokhadze"
10.33140/amse/02/01/24,carbides Ti,Optimizing the Morphology of Primary Carbides and Mechanical Properties during Processing Of Cast-Steel (Din Gx210crv12 1) Press-Forming Dies,Advances in Materials Science and Engineering,2578-7217,Opast Group LLC,journal-article,https://doi.org/10.33140/amse/02/01/24,2,1,,,,2018-3-19,2018-3-19,
10.17814/mechanik.2016.8-9.275,carbides Ti,Analysis of vibrations during turning laser cladded sintered carbides,Mechanik,0025-6552,SIMP Redakcja Mechanik - Agenda Wydawnicza SIMP,journal-article,https://doi.org/10.17814/mechanik.2016.8-9.275,,8-9,1116-1117,,,2016-9,2016-9,"Piotr, Kieruj, Damian, Przestacki, Tadeusz, Chwalczuk"
10.1016/j.matlet.2024.137214,carbides Ti,Interface migration and grain growth in NbC-Ni cemented carbides with secondary carbide addition,Materials Letters,0167-577X,Elsevier BV,journal-article,https://doi.org/10.1016/j.matlet.2024.137214,376,,137214,en,2024-12,,2024-12,"Mathilde, Labonne, Jean-Michel, Missiaen, Sabine, Lay"
